MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.215332	-35.842739	2.8837891
10.215584	-35.895611	2.8935547
10.215606	-29.081661	2.9033203
10.217037	-24.584034	2.9130859
10.218771	-27.885946	2.9228516
10.218307	-27.54039	2.9326172
10.219507	-32.224781	2.9423828
10.220376	-30.23978	2.9521484
10.221474	-25.127529	2.9619141
10.221515	-26.930052	2.9716797
10.222848	-21.610291	2.9814453
10.222604	-24.084276	2.9912109
10.224136	-26.259033	3.0009766
10.225424	-28.239195	3.0107422
10.227045	-28.906878	3.0205078
10.227344	-18.559532	3.0302734
10.228477	-19.79826	3.0400391
10.229271	-19.369324	3.0498047
10.229043	-21.986687	3.0595703
10.230196	-25.613068	3.0693359
10.230294	-22.276627	3.0791016
10.233137	-22.253233	3.0888672
10.232581	-16.354492	3.0986328
10.234619	-12.819967	3.1083984
10.233078	-18.588387	3.1181641
10.23495	-21.486887	3.1279297
10.235774	-24.972757	3.1376953
10.237328	-17.545963	3.1474609
10.237245	-14.377509	3.1572266
10.238551	-11.800193	3.1669922
10.239038	-14.141053	3.1767578
10.239654	-17.927134	3.1865234
10.240657	-20.455111	3.1962891
10.242599	-19.103773	3.2060547
10.241988	-11.662582	3.2158203
10.243093	-9.4655581	3.2255859
10.244485	-9.3327427	3.2353516
10.244289	-14.14562	3.2451172
10.244643	-18.031107	3.2548828
10.246037	-15.953072	3.2646484
10.247948	-11.781872	3.2744141
10.248416	-4.4887943	3.2841797
10.249681	-8.9325552	3.2939453
10.24843	-9.5730619	3.3037109
10.250212	-11.5116	3.3134766
10.251012	-15.388636	3.3232422
10.252052	-9.5013514	3.3330078
10.252509	-5.6768875	3.3427734
10.252858	-1.5374206	3.3525391
10.254202	-1.4303415	3.3623047
10.254746	-11.213541	3.3720703
10.256305	-9.6907568	3.3818359
10.257572	-6.2135363	3.3916016
10.257284	-3.7768247	3.4013672
10.258224	1.2331848	3.4111328
10.259711	-1.3026625	3.4208984
10.260152	-3.1290262	3.4306641
10.261281	-6.2039361	3.4404297
10.262494	-6.5662589	3.4501953
10.262526	-1.5475807	3.4599609
10.263263	1.6216071	3.4697266
10.26319	5.4246116	3.4794922
10.264256	0.44102249	3.4892578
10.265116	-3.2436762	3.4990234
10.266194	-4.7759576	3.5087891
10.267267	0.73494911	3.5185547
10.268721	0.86631501	3.5283203
10.269259	4.9254336	3.5380859
10.269793	6.21521	3.5478516
10.270607	3.7888036	3.5576172
10.272769	-0.24031147	3.5673828
10.272563	-2.5174766	3.5771484
10.273556	4.763463	3.5869141
10.273677	11.1141	3.5966797
