MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_4545_r0			Time:	20.021729	s	4/13/2019 8:16:34 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.696362	-26.738491	4.1274414
-39.695488	-29.963316	4.137207
-39.695534	-33.248695	4.1469727
-39.694721	-28.192019	4.1567383
-39.693748	-23.799391	4.1665039
-39.691826	-22.364403	4.1762695
-39.691345	-26.514784	4.1860352
-39.691113	-29.322197	4.1958008
-39.690247	-26.950434	4.2055664
-39.688614	-27.278154	4.215332
-39.687622	-22.229204	4.2250977
-39.687653	-22.846004	4.2348633
-39.686573	-20.620975	4.2446289
-39.685883	-22.248476	4.2543945
-39.684807	-28.524525	4.2641602
-39.683643	-23.478216	4.2739258
-39.682976	-21.058903	4.2836914
-39.682812	-17.428774	4.293457
-39.681553	-17.186083	4.3032227
-39.680454	-22.916855	4.3129883
-39.681461	-21.176298	4.3227539
-39.679836	-20.697107	4.3325195
-39.678734	-19.580673	4.3422852
-39.678345	-17.221411	4.3520508
-39.677582	-16.723568	4.3618164
-39.676079	-13.494829	4.371582
-39.675358	-18.596258	4.3813477
-39.674404	-19.836519	4.3911133
-39.67416	-16.676102	4.4008789
-39.673401	-14.83758	4.4106445
-39.672493	-12.954275	4.4204102
-39.671875	-15.265534	4.4301758
-39.669983	-13.965743	4.4399414
-39.670017	-12.213555	4.449707
-39.669495	-14.21586	4.4594727
-39.666485	-15.722156	4.4692383
-39.667107	-13.226058	4.4790039
-39.665237	-9.849371	4.4887695
-39.66478	-11.200492	4.4985352
-39.665306	-11.029356	4.5083008
-39.663689	-13.904897	4.5180664
-39.662361	-11.758093	4.527832
-39.66256	-9.2656307	4.5375977
-39.662052	-9.5750198	4.5473633
-39.65979	-6.0360312	4.5571289
-39.659508	-7.9893794	4.5668945
-39.658722	-8.2590399	4.5766602
-39.657875	-11.246662	4.5864258
-39.656342	-10.786053	4.5961914
-39.656006	-3.4410048	4.605957
-39.656242	-3.0765896	4.6157227
-39.654732	-5.2245841	4.6254883
-39.653332	-8.8600779	4.6352539
-39.65406	-9.2723522	4.6450195
-39.652336	-4.0436478	4.6547852
-39.65134	-4.9498796	4.6645508
-39.650814	0.63091481	4.6743164
-39.649513	0.63261336	4.684082
-39.649113	-3.8938155	4.6938477
-39.647961	-4.3638287	4.7036133
-39.647804	-8.5450964	4.7133789
-39.646526	-2.0699997	4.7231445
-39.645374	3.2543809	4.7329102
-39.644543	2.8444579	4.7426758
-39.643642	0.87339914	4.7524414
-39.642609	-4.474709	4.762207
-39.643082	-0.89841503	4.7719727
-39.642208	-0.35304549	4.7817383
-39.641636	3.4009714	4.7915039
-39.639374	6.1992507	4.8012695
-39.639614	5.6916833	4.8110352
-39.638618	2.6668487	4.8208008
-39.63802	-2.2078075	4.8305664
-39.636738	1.0523962	4.840332
-39.635914	5.5493808	4.8500977
-39.635277	9.2526388	4.8598633
-39.634613	6.6002355	4.8696289
-39.635208	4.383368	4.8793945
-39.632008	3.6392198	4.8891602
-39.63253	5.5431662	4.8989258
-39.632286	6.795969	4.9086914
-39.630348	8.5628843	4.918457
-39.628269	10.624814	4.9282227
-39.628738	9.7849073	4.9379883
-39.628361	5.3893571	4.9477539
-39.627853	7.6929221	4.9575195
-39.625591	7.8731718	4.9672852
-39.625225	13.317039	4.9770508
-39.624779	15.155199	4.9868164
-39.623528	8.8303289	4.996582
-39.622982	10.411867	5.0063477
-39.621536	9.4186687	5.0161133
-39.622097	10.96227	5.0258789
-39.619915	12.294531	5.0356445
-39.618828	14.139256	5.0454102
-39.619267	17.753103	5.0551758
-39.617733	12.839092	5.0649414
-39.616848	13.010052	5.074707
-39.616859	13.525646	5.0844727
-39.615608	13.451419	5.0942383
-39.615005	18.631727	5.1040039
-39.614933	15.6182	5.1137695
-39.6133	18.273773	5.1235352
-39.612152	18.373116	5.1333008
-39.612083	14.780106	5.1430664
-39.610725	15.341073	5.152832
-39.610764	16.089109	5.1625977
-39.607571	21.04278	5.1723633
-39.609482	21.572664	5.1821289
-39.607742	20.501719	5.1918945
-39.606979	16.987492	5.2016602
-39.605507	18.975615	5.2114258
-39.604763	21.751966	5.2211914
-39.603779	20.725134	5.230957
-39.603058	27.615793	5.2407227
-39.60294	23.517443	5.2504883
-39.602268	23.011057	5.2602539
-39.600628	19.435892	5.2700195
-39.600567	20.614429	5.2797852
-39.599827	25.998331	5.2895508
-39.598385	29.469023	5.2993164
-39.598022	27.654387	5.309082
-39.596809	24.561354	5.3188477
-39.596134	22.440226	5.3286133
-39.595135	25.433104	5.3383789
-39.594955	24.719509	5.3481445
-39.594349	32.093426	5.3579102
-39.592831	29.813837	5.3676758
-39.592575	29.34688	5.3774414
-39.591812	27.912195	5.387207
-39.590111	21.979641	5.3969727
-39.58976	29.54982	5.4067383
-39.588303	32.895412	5.4165039
-39.587921	34.09679	5.4262695
-39.587364	33.483364	5.4360352
-39.587566	28.483576	5.4458008
-39.585323	31.256296	5.4555664
-39.584705	29.78199	5.465332
-39.583801	34.842571	5.4750977
-39.582043	37.118507	5.4848633
-39.582203	35.795437	5.4946289
-39.581432	35.59391	5.5043945
-39.581139	30.292664	5.5141602
-39.580429	30.431856	5.5239258
-39.579441	37.469913	5.5336914
-39.578278	39.88427	5.543457
-39.576698	40.57394	5.5532227
-39.578045	35.436798	5.5629883
-39.575264	35.051811	5.5727539
-39.573399	36.727249	5.5825195
-39.574238	36.839958	5.5922852
-39.574673	40.317745	5.6020508
-39.572304	43.040928	5.6118164
-39.57151	42.595303	5.621582
-39.570072	37.268524	5.6313477
-39.570522	37.749897	5.6411133
-39.569622	40.286129	5.6508789
-39.568459	43.106407	5.6606445
-39.567734	44.857262	5.6704102
-39.567341	42.101379	5.6801758
-39.566113	42.754715	5.6899414
-39.565514	42.359074	5.699707
-39.56398	41.656372	5.7094727
-39.564163	42.15033	5.7192383
-39.563915	44.125324	5.7290039
-39.561466	50.228592	5.7387695
-39.561661	45.186394	5.7485352
-39.560902	46.367798	5.7583008
-39.55925	42.888371	5.7680664
-39.558407	45.158089	5.777832
-39.558556	48.908882	5.7875977
-39.557224	46.502022	5.7973633
-39.555843	49.55883	5.8071289
-39.554733	49.479198	5.8168945
-39.554737	47.579243	5.8266602
-39.553425	46.915039	5.8364258
-39.553493	46.52919	5.8461914
-39.551556	52.856468	5.855957
-39.551628	54.635521	5.8657227
-39.551144	52.36586	5.8754883
-39.549068	49.92432	5.8852539
-39.550159	48.385399	5.8950195
-39.549255	51.587769	5.9047852
-39.546276	51.731525	5.9145508
-39.547134	57.180546	5.9243164
-39.544777	56.855145	5.934082
-39.544292	55.266579	5.9438477
-39.544113	51.584572	5.9536133
-39.544609	49.741798	5.9633789
-39.543251	55.009666	5.9731445
-39.542641	61.341534	5.9829102
-39.541054	61.096653	5.9926758
-39.540588	55.978851	6.0024414
-39.540054	55.296021	6.012207
-39.538704	56.680084	6.0219727
-39.53756	55.627308	6.0317383
-39.537205	60.81176	6.0415039
-39.535786	61.148628	6.0512695
-39.535778	62.283367	6.0610352
-39.533733	59.382809	6.0708008
-39.532871	55.410976	6.0805664
-39.532215	59.282188	6.090332
-39.532192	63.599571	6.1000977
-39.531155	65.017532	6.1098633
-39.531029	64.724152	6.1196289
-39.530544	59.332573	6.1293945
-39.527718	62.391964	6.1391602
-39.527657	59.767948	6.1489258
-39.527695	64.004494	6.1586914
-39.526211	66.678062	6.168457
-39.525539	67.415543	6.1782227
-39.523685	68.962158	6.1879883
-39.523598	61.865173	6.1977539
-39.522747	64.03125	6.2075195
-39.522976	66.928734	6.2172852
-39.521729	69.058052	6.2270508
-39.520893	72.365822	6.2368164
-39.519066	67.645203	6.246582
-39.518818	68.600494	6.2563477
-39.518223	67.538818	6.2661133
-39.517498	66.178818	6.2758789
-39.517185	70.905304	6.2856445
-39.515263	72.9953	6.2954102
-39.514282	73.730537	6.3051758
-39.514767	71.412621	6.3149414
-39.513107	70.065445	6.324707
-39.512177	69.339172	6.3344727
-39.511906	74.173981	6.3442383
-39.510822	74.396309	6.3540039
-39.508671	74.560577	6.3637695
-39.508446	75.045158	6.3735352
-39.50853	75.068947	6.3833008
-39.506516	73.015022	6.3930664
-39.505505	71.243774	6.402832
-39.506954	75.105827	6.4125977
-39.505447	80.828339	6.4223633
-39.504421	77.117546	6.4321289
-39.503761	78.13446	6.4418945
-39.502209	74.09655	6.4516602
-39.502518	75.100212	6.4614258
-39.499428	78.943916	6.4711914
-39.500229	76.78019	6.480957
-39.499611	83.348969	6.4907227
-39.49955	79.888184	6.5004883
-39.498123	78.85228	6.5102539
-39.49614	76.107368	6.5200195
-39.495625	76.022835	6.5297852
-39.495609	82.68779	6.5395508
-39.49469	85.015106	6.5493164
-39.494324	85.37645	6.559082
-39.493122	81.165154	6.5688477
-39.491665	79.952675	6.5786133
-39.490379	82.307846	6.5883789
-39.490421	82.108551	6.5981445
-39.489563	86.812706	6.6079102
-39.488811	89.170341	6.6176758
-39.488487	85.456841	6.6274414
-39.486885	83.337128	6.637207
-39.486851	80.927498	6.6469727
-39.485649	85.89888	6.6567383
-39.484383	93.160469	6.6665039
-39.48299	90.075249	6.6762695
-39.483204	88.705177	6.6860352
-39.483891	86.52552	6.6958008
-39.481491	87.58194	6.7055664
-39.479965	86.802765	6.715332
-39.480713	91.831375	6.7250977
-39.47963	92.395134	6.7348633
-39.479088	94.364113	6.7446289
-39.477715	90.919655	6.7543945
-39.477726	87.313171	6.7641602
-39.476471	87.584335	6.7739258
-39.475395	92.985298	6.7836914
-39.474449	97.589027	6.793457
-39.472717	95.024071	6.8032227
-39.471935	91.765114	6.8129883
-39.471161	93.263527	6.8227539
-39.471718	91.455933	6.8325195
-39.470318	92.923882	6.8422852
-39.468674	95.960449	6.8520508
-39.468987	97.721939	6.8618164
-39.465675	99.914391	6.871582
-39.466305	93.41362	6.8813477
-39.465183	94.539146	6.8911133
-39.465057	97.377754	6.9008789
-39.463253	98.633255	6.9106445
-39.463402	102.8263	6.9204102
-39.463287	98.339394	6.9301758
-39.462063	101.13732	6.9399414
-39.461361	98.945313	6.949707
-39.460693	98.713585	6.9594727
-39.460167	100.03579	6.9692383
-39.457691	100.25864	6.9790039
-39.458214	106.14152	6.9887695
-39.45752	101.71213	6.9985352
-39.456802	100.64528	7.0083008
-39.456249	100.78726	7.0180664
-39.453381	102.20726	7.027832
-39.453529	105.69163	7.0375977
-39.453346	104.64214	7.0473633
-39.45208	107.85281	7.0571289
-39.451435	108.79185	7.0668945
-39.450142	104.82406	7.0766602
-39.449524	103.5094	7.0864258
-39.448662	103.97158	7.0961914
-39.448288	109.88148	7.105957
-39.447971	111.01517	7.1157227
-39.445839	109.76551	7.1254883
-39.446564	105.89198	7.1352539
-39.444019	107.88686	7.1450195
-39.44183	107.47127	7.1547852
-39.443962	108.58712	7.1645508
-39.44294	112.07053	7.1743164
-39.442657	113.91776	7.184082
-39.440903	112.06334	7.1938477
-39.440483	108.53387	7.2036133
-39.438652	107.27502	7.2133789
-39.438366	114.14721	7.2231445
-39.437969	116.22878	7.2329102
-39.437019	116.90151	7.2426758
-39.435883	114.43728	7.2524414
-39.435883	109.73837	7.262207
-39.433712	112.83368	7.2719727
-39.432964	112.6051	7.2817383
-39.432236	119.05696	7.2915039
-39.432182	119.93449	7.3012695
-39.430046	118.77378	7.3110352
-39.430412	117.77921	7.3208008
-39.430016	111.16305	7.3305664
-39.428902	116.09654	7.340332
-39.426872	122.1151	7.3500977
-39.426559	122.53532	7.3598633
-39.426289	122.49137	7.3696289
-39.426655	116.95844	7.3793945
-39.423645	118.54392	7.3891602
-39.4231	118.49038	7.3989258
-39.423668	119.83315	7.4086914
-39.422089	124.44853	7.418457
