MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-39.754005	59.349743	3.5393066
-39.753246	55.267757	3.5490723
-39.752605	66.624252	3.5588379
-39.751518	74.945595	3.5686035
-39.750629	82.113518	3.5783691
-39.750011	78.469582	3.5881348
-39.748688	65.856361	3.5979004
-39.748207	57.674305	3.607666
-39.746498	60.974861	3.6174316
-39.747551	75.780205	3.6271973
-39.746605	84.469322	3.6369629
-39.744583	84.548378	3.6467285
-39.744839	73.00985	3.6564941
-39.743443	62.940971	3.6662598
-39.743614	63.341209	3.6760254
-39.742035	70.581871	3.685791
-39.741135	85.344337	3.6955566
-39.740196	89.172379	3.7053223
-39.738869	84.103088	3.7150879
-39.738285	69.378281	3.7248535
-39.738007	62.548271	3.7346191
-39.736275	71.820618	3.7443848
-39.73637	84.592155	3.7541504
-39.734276	93.015984	3.763916
-39.733475	89.398659	3.7736816
-39.73418	76.429657	3.7834473
-39.733044	70.956764	3.7932129
-39.732594	67.862587	3.8029785
-39.730968	82.839935	3.8127441
-39.730045	94.696762	3.8225098
-39.729675	95.601135	3.8322754
-39.728947	87.492424	3.842041
-39.728649	72.560013	3.8518066
-39.727272	71.70649	3.8615723
-39.726227	81.422417	3.8713379
-39.72567	92.495522	3.8811035
-39.724918	98.966316	3.8908691
-39.724319	92.37294	3.9006348
-39.722569	82.645363	3.9104004
-39.722752	75.290878	3.920166
-39.720989	78.333687	3.9299316
-39.720867	91.112976	3.9396973
-39.719978	101.76548	3.9494629
-39.719028	101.16699	3.9592285
-39.716949	89.416229	3.9689941
-39.717388	78.303635	3.9787598
-39.716179	80.494965	3.9885254
-39.715607	90.259926	3.998291
-39.71566	100.94298	4.0080566
-39.713764	103.39982	4.0178223
-39.713024	99.271217	4.0275879
-39.711819	87.409988	4.0373535
-39.711399	81.621613	4.0471191
-39.709991	86.276184	4.0568848
-39.710396	101.36296	4.0666504
-39.709682	109.26743	4.076416
-39.707985	102.03109	4.0861816
-39.706932	94.686775	4.0959473
-39.70673	85.5075	4.1057129
-39.705971	87.226257	4.1154785
-39.704697	98.891708	4.1252441
-39.703758	105.28033	4.1350098
-39.702152	111.27817	4.1447754
-39.701744	102.68484	4.154541
-39.701778	91.475243	4.1643066
-39.701279	87.947876	4.1740723
-39.700806	93.444824	4.1838379
-39.69817	109.33752	4.1936035
-39.698261	113.0658	4.2033691
-39.697449	110.2701	4.2131348
-39.69706	98.636391	4.2229004
-39.695511	90.278397	4.232666
-39.694332	96.766449	4.2424316
-39.69405	103.75588	4.2521973
-39.693264	115.11646	4.2619629
-39.693302	117.66785	4.2717285
-39.691734	107.07724	4.2814941
-39.691624	95.922516	4.2912598
-39.692265	92.947144	4.3010254
-39.690636	104.22771	4.310791
-39.688164	116.98581	4.3205566
-39.68837	120.88872	4.3303223
-39.686684	112.12746	4.3400879
-39.685982	101.15767	4.3498535
-39.686081	97.525208	4.3596191
-39.685223	100.76459	4.3693848
-39.684135	115.44847	4.3791504
-39.682896	121.82954	4.388916
-39.680866	122.53135	4.3986816
-39.681522	108.04679	4.4084473
-39.681507	97.908524	4.4182129
-39.680832	101.78673	4.4279785
-39.67952	113.3999	4.4377441
-39.677853	127.17876	4.4475098
-39.678154	127.60674	4.4572754
-39.676456	116.69889	4.467041
-39.674828	108.08013	4.4768066
-39.674393	100.73988	4.4865723
