MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.025879	s	4/15/2019 3:48:13 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.337706	45.395424	4.3857422
10.338483	46.492851	4.3955078
10.339406	45.71056	4.4052734
10.340363	51.663887	4.4150391
10.341827	55.288361	4.4248047
10.342444	55.109421	4.4345703
10.344354	48.211315	4.4443359
10.344405	47.038013	4.4541016
10.344232	49.86636	4.4638672
10.345973	52.980556	4.4736328
10.346734	56.273952	4.4833984
10.346428	55.822056	4.4931641
10.348314	54.549969	4.5029297
10.349425	52.883659	4.5126953
10.350018	52.687733	4.5224609
10.350661	52.402069	4.5322266
10.351389	58.602608	4.5419922
10.352221	61.560188	4.5517578
10.351686	57.355724	4.5615234
10.35452	58.343994	4.5712891
10.354783	55.178188	4.5810547
10.354434	55.580288	4.5908203
10.355826	61.508835	4.6005859
10.356277	60.833836	4.6103516
10.358314	64.411324	4.6201172
10.358116	61.656208	4.6298828
10.359216	58.264786	4.6396484
10.359753	54.101814	4.6494141
10.361143	59.69128	4.6591797
10.361375	67.905853	4.6689453
10.362298	67.58844	4.6787109
10.364035	65.361778	4.6884766
10.364073	61.314827	4.6982422
10.3654	58.617195	4.7080078
10.366166	64.455795	4.7177734
10.367337	65.549507	4.7275391
10.366778	69.080078	4.7373047
10.368974	73.065567	4.7470703
10.368613	67.033249	4.7568359
10.369984	62.510952	4.7666016
10.370219	61.290829	4.7763672
10.370778	68.115173	4.7861328
10.372357	74.953201	4.7958984
10.373467	75.630699	4.8056641
10.374729	68.666908	4.8154297
10.375422	66.977577	4.8251953
10.375659	66.867836	4.8349609
10.376454	68.703972	4.8447266
10.377495	74.58149	4.8544922
10.377621	77.826553	4.8642578
10.378395	78.202354	4.8740234
10.380309	71.416771	4.8837891
10.380728	67.13768	4.8935547
10.381618	71.213539	4.9033203
10.381295	76.05574	4.9130859
10.382957	81.837143	4.9228516
10.383265	78.782242	4.9326172
10.384707	75.246925	4.9423828
10.38519	75.039467	4.9521484
10.386092	71.918587	4.9619141
10.386813	78.839508	4.9716797
10.388214	81.463913	4.9814453
10.388681	83.510086	4.9912109
10.389656	83.254257	5.0009766
10.391035	73.977745	5.0107422
10.39117	76.491066	5.0205078
10.391377	79.640114	5.0302734
10.391815	85.552368	5.0400391
10.393991	87.803246	5.0498047
10.39404	81.802063	5.0595703
10.394296	83.569191	5.0693359
10.394566	81.35717	5.0791016
10.396155	80.458664	5.0888672
10.397655	83.169914	5.0986328
10.398567	88.41806	5.1083984
10.398602	89.594002	5.1181641
10.398762	84.889908	5.1279297
10.40069	82.051857	5.1376953
10.401369	84.697777	5.1474609
10.403449	88.801674	5.1572266
10.402943	90.942955	5.1669922
10.40349	89.563583	5.1767578
10.404098	90.984306	5.1865234
10.405877	89.369362	5.1962891
10.406606	87.584373	5.2060547
10.407714	85.831337	5.2158203
10.407868	91.752693	5.2255859
10.407757	96.22213	5.2353516
10.410062	94.799789	5.2451172
10.410816	93.025383	5.2548828
10.411844	88.931915	5.2646484
10.411119	91.432892	5.2744141
10.413262	93.105408	5.2841797
10.413626	96.0215	5.2939453
10.415239	99.560631	5.3037109
10.415273	97.965202	5.3134766
10.416587	96.680275	5.3232422
10.417191	92.552071	5.3330078
10.418031	91.388901	5.3427734
10.419105	100.70784	5.3525391
10.419725	102.33418	5.3623047
10.419411	102.33737	5.3720703
10.420767	96.200584	5.3818359
10.422426	95.958138	5.3916016
10.422608	97.517632	5.4013672
10.424069	97.933304	5.4111328
10.423924	105.13866	5.4208984
10.425318	107.3922	5.4306641
10.426243	104.56509	5.4404297
10.42705	100.6421	5.4501953
10.427135	97.444893	5.4599609
10.428437	100.36735	5.4697266
10.42879	108.86597	5.4794922
10.430367	108.78673	5.4892578
10.430645	107.02547	5.4990234
10.432165	103.74364	5.5087891
10.431949	102.825	5.5185547
10.433434	102.05473	5.5283203
10.433666	108.68678	5.5380859
10.434326	111.6964	5.5478516
10.434999	115.25146	5.5576172
10.43668	108.60854	5.5673828
10.437362	102.23425	5.5771484
10.439212	103.82226	5.5869141
10.439346	109.62171	5.5966797
10.439373	115.48806	5.6064453
10.440726	114.81215	5.6162109
10.441209	111.38372	5.6259766
10.442062	109.78288	5.6357422
10.443106	106.27554	5.6455078
10.443571	111.3143	5.6552734
10.444537	115.97489	5.6650391
10.444847	119.66669	5.6748047
10.446215	117.86455	5.6845703
10.447395	111.20512	5.6943359
10.447941	112.61412	5.7041016
10.448366	113.13755	5.7138672
10.448977	117.35354	5.7236328
10.450668	120.96913	5.7333984
10.449827	118.99719	5.7431641
10.451485	119.61805	5.7529297
10.453455	116.87957	5.7626953
10.453372	115.53946	5.7724609
10.454013	117.21436	5.7822266
10.455718	121.47793	5.7919922
10.455997	126.2414	5.8017578
10.455559	120.23959	5.8115234
10.458936	120.26663	5.8212891
10.45933	118.70378	5.8310547
10.458795	119.86677	5.8408203
10.461665	125.60454	5.8505859
10.461933	125.57391	5.8603516
10.461448	126.84445	5.8701172
10.462113	128.28761	5.8798828
10.463719	122.37426	5.8896484
10.464676	120.68646	5.8994141
10.464895	124.67878	5.9091797
10.465906	129.14658	5.9189453
10.466351	130.65608	5.9287109
10.46736	129.97672	5.9384766
10.468437	125.04914	5.9482422
10.469156	124.76865	5.9580078
10.470173	126.65161	5.9677734
10.470183	127.60014	5.9775391
10.47111	134.53722	5.9873047
10.472738	134.72296	5.9970703
10.473316	131.02304	6.0068359
10.4747	125.87449	6.0166016
10.474572	124.22494	6.0263672
