MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.02002	s	4/15/2019 7:20:11 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.232464	46.381325	3.1108398
10.233348	46.597591	3.1206055
10.233537	53.354435	3.1303711
10.235329	56.544849	3.1401367
10.236202	55.289753	3.1499023
10.235973	55.148224	3.159668
10.237683	53.647545	3.1694336
10.236502	49.916275	3.1791992
10.238394	52.897076	3.1889648
10.238398	57.525753	3.1987305
10.241508	61.818466	3.2084961
10.24146	60.202255	3.2182617
10.242229	53.326359	3.2280273
10.242039	54.439941	3.237793
10.243	56.63768	3.2475586
10.244752	60.966408	3.2573242
10.245396	63.897812	3.2670898
10.245893	61.899651	3.2768555
10.247396	62.205437	3.2866211
10.246837	58.731003	3.2963867
10.248439	58.428738	3.3061523
10.250081	59.785534	3.315918
10.25002	64.764633	3.3256836
10.251044	67.540131	3.3354492
10.251818	62.70483	3.3452148
10.251744	62.730267	3.3549805
10.252801	61.182957	3.3647461
10.253678	63.022755	3.3745117
10.255724	66.364395	3.3842773
10.254944	67.592354	3.394043
10.256063	69.133224	3.4038086
10.258098	68.046707	3.4135742
10.258001	64.445663	3.4233398
10.258817	63.602245	3.4331055
10.258986	66.597755	3.4428711
10.261017	70.277245	3.4526367
10.26138	73.240082	3.4624023
10.262612	70.169716	3.472168
10.263397	68.500282	3.4819336
10.263494	68.706497	3.4916992
10.26395	68.346497	3.5014648
10.265002	70.546524	3.5112305
10.265898	75.31263	3.5209961
10.266895	78.047615	3.5307617
10.267039	74.632149	3.5405273
10.268747	68.153854	3.550293
10.269478	70.076393	3.5600586
10.269475	75.364975	3.5698242
10.271639	79.174995	3.5795898
10.271958	81.61248	3.5893555
10.273165	77.147392	3.5991211
10.273016	75.591461	3.6088867
10.274341	73.361641	3.6186523
10.274467	73.693344	3.628418
10.275955	82.139732	3.6381836
10.276879	84.273277	3.6479492
10.277948	82.370285	3.6577148
10.278034	77.819832	3.6674805
10.279249	73.158295	3.6772461
10.279476	79.279015	3.6870117
10.280697	83.233673	3.6967773
10.282818	87.235733	3.706543
10.28273	87.400375	3.7163086
10.282973	82.806107	3.7260742
10.28392	82.14093	3.7358398
10.285554	78.837822	3.7456055
10.285168	85.079422	3.7553711
10.286906	91.009277	3.7651367
10.287822	91.106834	3.7749023
10.287829	87.814484	3.784668
10.288233	81.672371	3.7944336
10.289557	83.188835	3.8041992
10.291258	87.19857	3.8139648
10.29135	90.775894	3.8237305
10.292279	91.012222	3.8334961
10.292968	91.591301	3.8432617
10.293395	89.71006	3.8530273
10.295223	84.847221	3.862793
10.295565	88.312546	3.8725586
10.2955	89.971916	3.8823242
10.297254	96.03389	3.8920898
10.299091	95.032776	3.9018555
10.298478	91.850601	3.9116211
10.299779	88.747375	3.9213867
10.299864	90.114548	3.9311523
10.301261	93.173851	3.940918
10.302087	95.006729	3.9506836
10.303821	97.501869	3.9604492
10.303027	97.200134	3.9702148
10.30519	94.044563	3.9799805
10.305297	94.27874	3.9897461
10.3062	91.867844	3.9995117
10.307523	99.105675	4.0092773
10.307856	100.75349	4.019043
10.308856	97.550034	4.0288086
10.309208	99.731102	4.0385742
10.309982	98.177185	4.0483398
10.310363	97.191223	4.0581055
10.311477	99.151863	4.0678711
10.312962	99.271538	4.0776367
10.313627	104.75057	4.0874023
10.31425	105.03353	4.097168
10.315772	100.01168	4.1069336
10.315876	97.738747	4.1166992
10.316516	99.823929	4.1264648
10.317786	105.34916	4.1362305
10.317881	106.68633	4.1459961
10.318264	108.81853	4.1557617
10.31928	106.15902	4.1655273
10.320123	103.2402	4.175293
10.320415	103.14626	4.1850586
10.322145	103.59009	4.1948242
10.323549	109.01158	4.2045898
10.324233	113.67911	4.2143555
10.324537	109.09992	4.2241211
10.325899	105.45352	4.2338867
10.327149	102.02821	4.2436523
10.327308	107.92868	4.253418
10.327816	112.5818	4.2631836
10.329423	115.27198	4.2729492
10.328788	114.0157	4.2827148
10.330776	112.05599	4.2924805
10.331568	107.84776	4.3022461
10.331533	106.36867	4.3120117
10.332086	112.15999	4.3217773
10.333421	118.48969	4.331543
10.334212	119.97739	4.3413086
10.335897	114.31615	4.3510742
10.335874	110.81258	4.3608398
10.33763	111.0155	4.3706055
